class_code,assess_ratio,loa_2022,class_desc,improvement_ind,vacant_ind,land,comparable_props,building type,Alea_cat,incent_prop,Option2,Res_nonRes,class_1dig,major_class_code,major_class_type,assessment_level,last2dig,used_in2021
668,0.1,0.1,Special industrial Brownfield improvement,1,0,0,,Ind. Brown. Improv,Industrial,Incentive,Remediation Incentive,NonRes,6,6C,Industrial Brownfield,,68,
669,0.1,0,Industrial Brownfield condominium unit,0,0,0,589b,Ind. Brownfield,Industrial,Incentive,Remediation incentive,NonRes,6,6C,Industrial Brownfield,,69,not used yet
670,0.1,0.1,Industrial minor improvement,1,0,0,580,Ind. Minor Imp.,Industrial,Incentive,,NonRes,6,6B,Industrial Incentive,,70,
671,0.1,0.1,Garage used in conjunction with industrial incentive improvement,1,0,0,581,Garage,Industrial,Incentive,,NonRes,6,6B,Industrial Incentive,,71,
673,0.1,0.1,Industrial quonset hut or butler type building,0,0,0,583,Ind. Quonset,Industrial,Incentive,,NonRes,6,6B,Industrial Incentive,,73,
677,0.1,0.1,Special industrial improvement,1,0,0,587,Ind. Improvement,Industrial,Incentive,,NonRes,6,6B,Industrial Incentive,,77,
679,0.1,0.1,Industrial condominium unit,0,0,0,589,Ind. Condo,Industrial,Incentive,,NonRes,6,6B,Industrial Incentive,,79,
680,0.1,0.2,Industrial minor improvement,1,0,0,580,Ind. Minor Imp.,Industrial,Incentive,,NonRes,6,6A,Industrial Incentive,,80,
681,0.1,0,Garage used in conjunction with industrial incentive improvement,1,0,0,581,Garage,Industrial,Incentive,,NonRes,6,6A,Industrial Incentive,,81,not used
683,0.1,0.2,Industrial quonset hut or butler type building,0,0,0,583,Quonset hut,Industrial,Incentive,,NonRes,6,6A,Industrial Incentive,,83,
687,0.1,0,Special industrial improvement,1,0,0,587,Ind. Improvement,Industrial,Incentive,,NonRes,6,6A,Industrial Incentive,,87,
689,0.1,0,Industrial condominium unit,0,0,0,589,Ind. Condo,Industrial,Incentive,,NonRes,6,6A,Industrial Incentive,,89,
693,0.1,0.1,Industrial building,0,0,0,593,Industrial,Industrial,Incentive,,NonRes,6,6A,Industrial Incentive,,93,
700,0.1,0.1,Commercial incentive land,0,0,1,500,Commercial,Commercial,Incentive,small project,NonRes,7,7A,Commercial Incentive,,0,not used
701,0.1,0,Garage used in conjunction with Commercial Incentive improvement,1,0,0,501,Garage,Commercial,Incentive,small project,NonRes,7,7A,Commercial Incentive,,1,not used
