class_code,class_desc,Alea_cat,Option2,Res_nonRes,class_1dig,major_class_code,major_class_type,assessment_level,incent_nonincent,groups_5,hybrid_groups
761,"Shopping center (Regional, community, neighborhood, promotional, specialty)",Commercial,big  project,NonRes,7,7B,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
762,Bowling alley,Commercial,big  project,NonRes,7,7B,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
764,Quonset hut or butler type building,Commercial,big  project,NonRes,7,7B,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
765,Other minor commercial improvements,Commercial,big  project,NonRes,7,7B,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
767,Special commercial structure,Commercial,big  project,NonRes,7,7B,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
772,"Two-or-three-story building, containing part or all retail and/or commercial space",Commercial,big  project,NonRes,7,7B,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
774,Office building,Commercial,big  project,NonRes,7,7B,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
790,Other minor commercial improvement,Commercial,small project,NonRes,7,7A,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
791,"Office building (One story, low, rise, mid rise, high rise)",Commercial,small project,NonRes,7,7A,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
792,Two-or-three-story building containing part or all retail and/or commercial space,Commercial,small project,NonRes,7,7A,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
797,Special commercial structure,Commercial,small project,NonRes,7,7A,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
798,Commercial/Industrial-condominium units/garage,Commercial,big  project,NonRes,7,7B,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
799,Commercial/Industrial-Condominium unit/garage,Commercial,small project,NonRes,7,7A,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
800,Commercial incentive land,Commercial,,NonRes,8,8,Commercial/Industrial Incentive,,Incentive Classes,Incentive Class,Class 8
801,Garage used in conjunction with commercial incentive improvement,Commercial,,NonRes,8,8,Commercial/Industrial Incentive,,Incentive Classes,Incentive Class,Class 8
816,Non-fireproof hotel or rooming house (apartment hotel),Commercial,,NonRes,8,8,Commercial/Industrial Incentive,,Incentive Classes,Incentive Class,Class 8
817,One-story commercial building,Commercial,,NonRes,8,8,Commercial/Industrial Incentive,,Incentive Classes,Incentive Class,Class 8
822,"Garage, service station",Commercial,,NonRes,8,8,Commercial/Industrial Incentive,,Incentive Classes,Incentive Class,Class 8
823,"Gasoline station with/without bay, store",Commercial,,NonRes,8,8,Commercial/Industrial Incentive,,Incentive Classes,Incentive Class,Class 8
826,Commercial greenhouse,Commercial,,NonRes,8,8,Commercial/Industrial Incentive,,Incentive Classes,Incentive Class,Class 8
