major_class_code,major_class_type,tax_code,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,agency_tax_rate,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share,rev_perTC
1,Vacant,13144,52875.9,103311.63,0,156187.53,156187.53,0.009677140689130014,0,0,0,0.6614489584909999,156187.94752851987
1,Vacant,13145,1540.48,7359.19,0,8899.67,8899.67,0.009677140689130014,0,0,0,0.8269045182729999,8899.679206165309
1,Vacant,13146,2492.41,28433.53,0,30925.94,30925.94,0.016344999265756957,0,0,0,0.919409308055,30925.9154507593
1,Vacant,13150,9521.38,0,0,9521.38,9521.38,0.010383075550203756,0,0,0,0,9521.352961065695
1,Vacant,13151,0.88,0,0,0.88,0.88,0.01059499956405445,0,0,0,0,0.8899799633805738
1,Vacant,13154,21015.83,3958.0099999999998,0,24973.84,24973.84,0.016831427571365697,0,0,0,0.158485742405,24973.832636144707
1,Vacant,13155,26979.52,15073.1,0,42052.62,42052.62,0.010028571251435053,0,0,0,0.358433893584,42052.607257217576
1,Vacant,13157,9.75,0,0,9.75,9.75,0.010019999269375308,0,0,0,0,9.769499287640926
1,Vacant,13159,0.43,0,0,0.43,0.43,0.01107923033439691,0,0,0,0,0.4320899830414795
1,Vacant,13160,2161.35,0,0,2161.35,2161.35,0.00990333197868661,0,0,0,0,2161.3427843564805
1,Vacant,13163,6103.38,177623.47,0,183726.85,183726.85,0.01732571355179763,0,0,0,0.9667800343419999,183726.8216573379
1,Vacant,13164,1952.95,4502.42,0,6455.37,6455.37,0.01618285653862131,0,0,0,0.697469553926,6455.373838969119
1,Vacant,13176,12960.92,1862.07,0,14822.99,14822.99,0.01214846103115739,0,0,0,0.125619709604,14822.993321010814
1,Vacant,13179,5957.04,452.2,0,6409.24,6409.24,0.009740713836241041,0,0,0,0.070555235582,6409.253334252898
1,Vacant,13182,3471.46,0,0,3471.46,3471.46,0.01882785610693132,0,0,0,0,3471.4801089959965
1,Vacant,13185,2484.69,8866.36,0,11351.05,11351.05,0.010028571251435053,0,0,0,0.78110232385,11351.058999504296
1,Vacant,13186,840.5,333.96,0,1174.46,1174.46,0.010028571251435053,0,0,0,0.284323395049,1174.445979255559
1,Vacant,13188,49284.75,0,0,49284.75,49284.75,0.011738570849034997,0,0,0,0,49284.741866798904
1,Vacant,13189,7486.7,2983.52,0,10470.22,10470.22,0.012459999447997163,0,0,0,0.284951809279,10470.224756148153
1,Vacant,13191,7533.82,2000.06,0,9533.88,9533.88,0.009740713836241041,0,0,0,0.20978463067300002,9533.899000069972
1,Vacant,13193,12875.949999999999,1989.49,0,14865.44,14865.44,0.009740713836241041,0,0,0,0.133834428053,14865.420274053487
1,Vacant,13195,4485.54,2221.88,0,6707.42,6707.42,0.010807856680642384,0,0,0,0.331257353239,6707.420703146747
1,Vacant,13197,1528.57,443.17,0,1971.74,1971.74,0.010807856680642384,0,0,0,0.224752074479,1971.7205256763125
1,Vacant,13198,1574.84,976.6999999999999,0,2551.54,2551.54,0.010807856680642384,0,0,0,0.382795082102,2551.5404208794153
1,Vacant,13202,2505.08,11005.75,0,13510.83,13510.83,0.009776427825667997,0,0,0,0.8145827790129999,13510.847279372309
1,Vacant,13204,35179.24,9843.65,0,45022.89,45022.89,0.009776427825667997,0,0,0,0.218632799182,45022.69871560102
1,Vacant,13205,4855.05,8596.29,0,13451.34,13451.34,0.01882785610693132,0,0,0,0.63905410033,13451.260549899369
1,Vacant,13206,157784.75,0,0,157784.75,157784.75,0.01988615323376223,0,0,0,0,157784.83342103564
1,Vacant,13208,24104.19,395.69,0,24499.88,24499.88,0.010028571251435053,0,0,0,0.016151484350000002,24499.939967253355
1,Vacant,13210,134.5,7.46,0,141.96,141.96,0.008464285533120248,0,0,0,0.052551937997999995,141.9629969614928
1,Vacant,13212,11325.42,509.02,0,11834.44,11834.44,0.010028571251435053,0,0,0,0.043013401655,11834.456190965968
1,Vacant,13213,3390.17,13950.64,0,17340.81,17340.81,0.010028571251435053,0,0,0,0.804498652806,17340.803693706406
1,Vacant,13214,23977.74,0,0,23977.74,23977.74,0.009677140689130014,0,0,0,0,23977.78694814981
1,Vacant,13216,1863.46,1291681.38,0,1293544.8399999999,1293544.8399999999,0.017759999255764675,0,0,0,0.998559437354,1293544.8571538166
1,Vacant,13217,6387.5,0,0,6387.5,6387.5,0.010273843985580242,0,0,0,0,6387.505651934876
1,Vacant,13221,14884.59,0,0,14884.59,14884.59,0.010807856680642384,0,0,0,0,14884.515373440607
1,Vacant,13226,383.33,0,0,383.33,383.33,0.009740713836241041,0,0,0,0,383.3360523114299
1,Vacant,13231,62999.1,7638.84,0,70637.94,70637.94,0.010744999237703839,0,0,0,0.10814054304300001,70638.01180863759
1,Vacant,14001,110098.37,0,0,110098.37,110098.37,0.011380712880917333,0,0,0,0,110098.29104983695
1,Vacant,14002,45459.44,0,0,45459.44,45459.44,0.011184284770274049,0,0,0,0,45459.241243004166
1,Vacant,14003,194307.31,0,0,194307.31,194307.31,0.01586615123534158,0,0,0,0,194306.99476632994
