nbhd_code,nbh_current_rate,major_class_code,nbhd_3,triad_name,nbh_final_tax_to_dist,nbh_tif_rev,nbh_nonTIF_EAV_post_exemps,nbh_TIF_increment_EAV,nbh_exe_and_abates_frombills,Total_EAV,TC_MC_PC,TC_MC_AV,TC_MC_EAV,TC_MC_res_exe,nbh_mc_exe_homeowner,nbh_mc_exe_senior,nbh_mc_exe_freeze,nbh_mc_exe_longtime_homeowner,nbh_mc_exe_disabled,nbh_mc_exe_vet_returning,nbh_mc_exe_vet_dis_lt50,nbh_mc_exe_vet_dis_50_69,nbh_mc_exe_vet_dis_ge70,nbh_mc_exe_abate,zero_bills,has_HO_exemp,has_SF_exemp,has_FR_exemp,has_LTHO_exemp,has_DI_exemp,has_VR_exemp,has_DV_exemp,has_AB_exemp
22082,0.09398277878893337,2,082,North,1473152.93,0,15674711.356517863,0,3252940.8851052322,18927652.241623096,338,6303543,18927652,3252941,1960000,561390,731551,0,0,0,0,0,0,0,5,196,72,39,0,0,0,0,0
22082,0.09475254687062193,5A,082,North,560534.19,0,5915769.111360888,0,0,5915769.111360888,8,1970150,5915769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22080,0.10242477206743647,1,080,North,8974.52,1038.97,87620.60016195278,10196.977132201393,0,97817.57729415417,10,32576,97818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22080,0.09941288634510842,2,080,North,27941696.92,12944.65,281067152.83370167,127045.34301697911,63188156.01753244,344382354.1942511,4429,114681007,344352683,63188157,35000000,12024000,15898980,0,213000,0,15000,7500,29677,0,1,3641,1554,771,0,110,0,9,0
22080,0.10189,3,080,North,168206.51,31142.88,1650863.774658946,305651.9776229267,0,1956515.7522818728,7,651585,1956516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22080,0.10055067465032957,5A,080,North,5532899.63,650369.86,55025982.1651218,6399032.307689714,0,61425014.47281152,128,20456593,61425018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22080,0.10189,5B,080,North,26162.6,8646.26,256772.99047992934,84858.76926096772,0,341631.75974089705,1,113775,341632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22070,0.10272,1,070,North,1864.79,0,18154.108255451712,0,0,18154.108255451712,1,6046,18154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22070,0.10253323030940695,2,070,North,7096549.52,0,69212190.99978872,0,14201724.735939177,83413915.7357279,904,27779637,83413914,14201725,7830000,2944000,3385725,0,42000,0,0,0,0,0,0,783,368,151,0,21,0,0,0
22070,0.10272,5A,070,North,632668.87,0,6159159.559968847,0,0,6159159.559968847,4,2051207,6159160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22060,0.10009,1,060,North,11236.32,0,112262.16405235288,0,0,112262.16405235288,5,37387,112262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22060,0.10009,2,060,North,737979.89,0,7373163.053252073,0,1599931.9246907805,8973094.977942854,103,2974440,8931352,1599932,840000,352000,362190,0,4000,0,0,0,41742,0,1,84,44,20,0,2,0,1,0
