keypin,pin,pins_per_keypin,needs_keypin
02144020040000,02144020230000,2,0
02144020250000,02144020250000,1,0
02144020260000,02144020260000,1,0
02144080110000,02144080110000,1,1
02144080120000,02144080120000,1,0
02144080130000,02144080130000,2,0
02144080130000,02144080140000,2,0
02144080230000,02144080230000,1,0
02144080270000,02144080270000,1,0
02144080280000,02144080280000,1,0
02144140270000,02144140270000,2,0
02144140280000,02144140280000,1,0
02144140290000,02144140290000,1,0
02144140270000,02144140300000,2,0
02144140320000,02144140320000,2,0
02144140320000,02144140340000,2,0
02144140350000,02144140350000,1,0
02151000070000,02151000070000,1,0
02151000160000,02151000160000,1,0
02151000170000,02151000170000,1,0
02151010360000,02151010360000,1,0
02151020290000,02151020290000,1,0
02151020320000,02151020320000,1,0
02151020380000,02151020380000,2,0
02151020390000,02151020390000,2,0
02151020420000,02151020420000,1,0
02151020380000,02151020430000,2,0
02151020620000,02151020620000,1,1
02151020650000,02151020650000,2,0
02151020660000,02151020660000,1,0
02154000300000,02151020680000,2,0
02151020690000,02151020690000,1,0
02151020700000,02151020700000,1,0
02151020710000,02151020710000,1,0
02151020730000,02151020730000,1,0
02151020750000,02151020750000,2,0
02151020750000,02151020760000,2,0
02151020880000,02151020880000,1,0
02151020890000,02151020890000,1,0
02151020910000,02151020910000,1,0
02151020920000,02151020920000,1,0
02151020930000,02151020930000,1,1
02151020950000,02151020950000,1,0
02151020390000,02151020980000,2,0
02151020990000,02151020990000,1,0
02151021000000,02151021000000,1,0
02151021010000,02151021010000,1,0
02151021200000,02151021200000,2,0
02151021200000,02151021210000,2,0
02151021220000,02151021220000,2,0
02151021220000,02151021230000,2,0
02151021240000,02151021240000,1,0
02151021250000,02151021250000,1,0
02151022060000,02151022060000,1,0
02151022070000,02151022070000,1,0
02151100070000,02151100010000,2,0
02151100040000,02151100040000,1,0
02151100070000,02151100070000,2,0
02151020650000,02151100080000,2,0
02151100090000,02151100090000,1,0
02152000120000,02152000120000,1,0
02152000180000,02152000180000,1,0
02152000230000,02152000230000,1,0
02152000250000,02152000250000,1,0
02152000300000,02152000300000,1,0
02152000310000,02152000310000,1,0
02152000320000,02152000320000,1,0
02152000330000,02152000330000,1,1
02152000370000,02152000370000,1,0
02152000381001,02152000381001,1,1
02152000381002,02152000381002,1,1
02152000381003,02152000381003,1,1
02152000381004,02152000381004,1,1
02152000381005,02152000381005,1,1
02152000381012,02152000381012,1,1
02152000381013,02152000381013,1,1
02152000381014,02152000381014,1,1
02152000381015,02152000381015,1,1
02152000381016,02152000381016,1,1
02152010010000,02152010010000,1,1
02152010040000,02152010040000,1,0
02152010110000,02152010110000,2,0
02152010120000,02152010120000,2,0
02152010120000,02152010130000,2,0
02152010110000,02152010140000,2,0
02152020040000,02152020040000,5,0
02152020040000,02152020050000,5,0
02152020040000,02152020060000,5,0
02152020040000,02152020090000,5,0
02152020040000,02152020110000,5,0
02152030030000,02152030030000,4,0
02152030030000,02152030040000,4,0
02152030030000,02152030050000,4,0
02152030080000,02152030080000,1,0
02152030030000,02152030090000,4,0
02152080010000,02152080010000,4,0
02152080010000,02152080020000,4,0
02152080070000,02152080070000,1,0
02152080210000,02152080210000,1,0
02152080220000,02152080220000,1,0
02152080230000,02152080230000,1,0
02152080240000,02152080240000,1,0
02152080250000,02152080250000,1,1
02152080260000,02152080260000,1,0
02152080270000,02152080270000,1,1
02152080280000,02152080280000,1,0
02152080310000,02152080310000,2,0
02152080010000,02152080320000,4,0
02152080310000,02152080330000,2,0
02152080010000,02152080350000,4,0
02152080370000,02152080370000,1,1
02152080390000,02152080390000,1,1
02153000180000,02153000180000,1,1
02153000220000,02153000220000,1,1
02153000230000,02153000230000,1,0
02153000240000,02153000240000,1,0
02153000250000,02153000250000,1,1
02153010020000,02153010020000,1,0
02153010270000,02153010060000,4,0
02153010150000,02153010150000,1,0
02153010180000,02153010180000,1,0
02153010200000,02153010200000,2,0
02153010200000,02153010210000,2,0
02153010240000,02153010240000,2,0
02153010240000,02153010250000,2,0
02153010270000,02153010260000,4,0
02153010270000,02153010270000,4,0
02153010270000,02153010280000,4,0
02153010310000,02153010310000,2,0
02153010310000,02153010320000,2,0
02153010330000,02153010330000,1,0
02154000300000,02154000300000,2,0
02154000320000,02154000320000,1,1
02154000330000,02154000330000,1,0
02154000340000,02154000340000,1,0
02154000350000,02154000350000,1,0
02154000540000,02154000540000,1,0
02154000550000,02154000550000,1,0
02154070250000,02154070250000,1,0
02154080110000,02154080110000,1,0
02154090090000,02154090090000,1,0
02154120010000,02154120010000,1,1
02154120020000,02154120020000,1,1
02154120040000,02154120040000,1,1
02154130040000,02154130040000,3,0
02154130040000,02154130050000,3,0
02154130040000,02154130060000,3,0
02154140020000,02154140020000,1,1
02154140040000,02154140040000,1,1
02154140070000,02154140070000,1,1
02154140148002,02154140148002,1,0
02154200020000,02154200020000,1,1
02154200030000,02154200030000,1,1
02154200040000,02154200040000,1,1
02154200050000,02154200050000,1,1
02154210050000,02154210050000,6,0
02154210050000,02154210080000,6,0
